R_m Z_m Te_eV Ti_eV O1+_sput O2+_sput O3+_sput O4+_sput O5+_sput O6+_sput O7+_sput O8+_sput Total_sput
2.93386160e+00 3.40623430e-01 3.09482615e+00 6.68241940e+00 7.19630513e+05 2.22002780e-166 3.33792192e-153 1.56948310e-73 2.13632742e-244 8.93289792e+05 2.71059370e+14 7.42637027e+14 1.01369640e+15
2.92952420e+00 3.49692610e-01 3.07959253e+00 6.65201885e+00 5.25235613e+05 1.92476418e-162 2.64190993e-158 2.66185748e-67 9.60804119e-252 2.98238327e-03 2.22553908e+14 7.04932097e+14 9.27486005e+14
2.92507310e+00 3.58706570e-01 3.06338888e+00 6.61968251e+00 3.75731914e+05 2.97263374e-158 9.89691829e-164 1.12529292e-60 1.47149587e-259 2.87326846e-12 1.80443278e+14 6.66905410e+14 8.47348689e+14
2.92050920e+00 3.67663890e-01 3.04967220e+00 6.59419655e+00 3.49915569e+05 8.44827940e-155 4.38512934e-168 2.50858697e-55 8.36096949e-266 1.82547208e-19 1.60671819e+14 6.82087429e+14 8.42759248e+14
2.91583300e+00 3.76563150e-01 3.07506174e+00 6.64793289e+00 7.76635059e+05 1.59582837e-161 3.39271722e-159 3.89485648e-66 5.84435884e-253 1.24562924e-04 2.45110783e+14 8.24628416e+14 1.06973920e+15
2.91104530e+00 3.85402940e-01 3.15381698e+00 6.80523139e+00 3.95708266e+06 6.82607292e-182 8.30748029e-133 2.32016201e-98 5.94578381e-215 2.15059908e+13 6.79587291e+14 1.07948736e+15 1.78058065e+15
2.90614700e+00 3.94181870e-01 2.01922173e+00 5.39748375e+00 2.20680067e-03 8.81511972e+06 4.44829546e-152 1.17569242e-216 6.10840128e-15 1.05696621e-162 5.58874252e-202 7.77683877e-02 8.81511980e+06
2.90113870e+00 4.02898560e-01 1.99704367e+00 5.36409558e+00 1.45159092e-03 5.06071745e+06 6.45944995e-146 4.09396654e-224 1.21371396e-23 9.09346695e-153 3.86755134e-213 3.09414126e-14 5.06071745e+06
2.89602130e+00 4.11551630e-01 1.98318065e+00 5.33567765e+00 1.08358458e-03 3.36456937e+06 3.16017586e-141 6.69453698e-230 1.73450427e-30 7.17039196e-145 4.45534212e-222 3.13505585e-24 3.36456937e+06
2.89079560e+00 4.20139700e-01 1.96469617e+00 5.33163296e+00 8.40232755e-04 2.56469558e+06 9.87794831e-139 1.41902502e-232 2.59856891e-33 6.59681470e-142 3.39827905e-225 1.69187566e-27 2.56469558e+06
2.88546230e+00 4.28661440e-01 1.94794371e+00 5.30400179e+00 6.06098096e-04 1.65276700e+06 8.25197154e-134 1.44180708e-238 2.46847164e-40 7.28069841e-134 2.98025244e-234 1.39589544e-37 1.65276700e+06
2.88002240e+00 4.37115480e-01 1.91728255e+00 5.29167339e+00 4.81806731e-04 1.15915471e+06 5.26422786e-129 8.32193231e-244 4.91388210e-46 1.13951587e-127 7.41509033e-241 1.22311162e-44 1.15915471e+06
2.87447670e+00 4.45500490e-01 1.70964590e+00 5.05428282e+00 1.37186452e-05 1.15575840e+04 1.08512604e-79 1.11601298e-266 1.54256748e-113 1.63544290e-51 1.79369503e-240 2.02399764e-138 1.15575840e+04
2.86882610e+00 4.53815160e-01 1.34591143e+00 4.64792969e+00 2.25738601e-06 1.48325531e+00 9.54793472e+05 1.10399466e-166 2.31372312e-230 6.78922891e-56 2.22119795e-94 7.30031288e-268 9.54794955e+05
2.86307140e+00 4.62058160e-01 1.44995025e+00 4.77161084e+00 2.99850641e-06 2.03151668e+01 7.16606356e-20 2.16260902e-196 1.45314006e-195 1.72954829e-16 4.11331649e-138 9.86105100e-252 2.03151698e+01
2.85721360e+00 4.70228200e-01 1.55044053e+00 4.89282626e+00 3.47212794e-06 2.23171483e+02 2.15445470e-44 2.12687135e-225 1.12951003e-161 6.50249922e+02 7.28883190e-181 1.99864464e-204 8.73421408e+02
2.87721360e+00 4.70228200e-01 7.79654535e-01 3.83740362e+00 8.26785694e-07 5.56072797e-07 5.21183106e+00 3.38934134e+07 8.86371464e-126 1.98623391e-266 1.06609269e-158 4.12851849e-16 3.38934187e+07
2.88721360e+00 4.70228200e-01 6.01822447e-01 3.48411950e+00 9.59720847e-07 7.33204953e-07 1.14318010e-02 1.67415801e+04 1.45787332e-40 3.89407883e-168 1.51209318e-270 3.94279718e-141 1.67415916e+04
2.89721360e+00 4.70228200e-01 5.21954418e-01 3.27392204e+00 6.30602357e-07 4.64118574e-07 2.21592083e-04 1.41418577e+02 5.49315697e+07 8.96668121e-113 1.31024942e-234 7.17970433e-213 5.49317111e+07
